date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:20:01	24/24	---M--	200	added ('OK')	text/plain	date:Wed,%2031%20Jul%202024%2000:50:04%20GMT	http://Jayantararp.id/robots.txt		(from )
07:20:01	7648/7648	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Mar%202025%2023:20:01%20GMT	http://Jayantararp.id/	I:/wep/Wep/Jayantararp.id/index.html	(from )
07:20:03	6951/6951	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202024%2000:49:51%20GMT	http://Jayantararp.id/assets/vendor/magnific-popup/css/magnific-popup.css	I:/wep/Wep/Jayantararp.id/assets/vendor/magnific-popup/css/magnific-popup.css	(from http://Jayantararp.id/)
07:20:03	1772/1772	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202024%2000:49:51%20GMT	http://Jayantararp.id/assets/vendor/slick/css/slick.css	I:/wep/Wep/Jayantararp.id/assets/vendor/slick/css/slick.css	(from http://Jayantararp.id/)
07:20:03	12135/12135	---M--	200	added ('OK')	image/png	date:Wed,%2031%20Jul%202024%2000:49:36%20GMT	http://Jayantararp.id/assets/img/favicons/favicon.png	I:/wep/Wep/Jayantararp.id/assets/img/favicons/favicon.png	(from http://Jayantararp.id/)
07:20:03	1327/1327	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202024%2000:49:51%20GMT	http://Jayantararp.id/assets/vendor/nanoscroller/css/nanoscroller.css	I:/wep/Wep/Jayantararp.id/assets/vendor/nanoscroller/css/nanoscroller.css	(from http://Jayantararp.id/)
07:20:04	732/732	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202024%2000:49:50%20GMT	http://Jayantararp.id/assets/vendor/fontawesome/css/brands.css	I:/wep/Wep/Jayantararp.id/assets/vendor/fontawesome/css/brands.css	(from http://Jayantararp.id/)
07:20:06	637751/637751	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202024%2000:49:35%20GMT	http://Jayantararp.id/assets/css/style.css	I:/wep/Wep/Jayantararp.id/assets/css/style.css	(from http://Jayantararp.id/)
07:20:06	17984/17984	---M--	200	added ('OK')	image/png	date:Wed,%2031%20Jul%202024%2000:49:36%20GMT	http://Jayantararp.id/assets/img/favicons/favicon-2.png	I:/wep/Wep/Jayantararp.id/assets/img/favicons/favicon-2.png	(from http://Jayantararp.id/)
07:20:06	159/159	---M--	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202024%2000:49:34%20GMT	http://Jayantararp.id/assets/css/custom.css	I:/wep/Wep/Jayantararp.id/assets/css/custom.css	(from http://Jayantararp.id/)
